,Verification_Status,processed_Text,noun_count,Word_Count,entity_count,class,sum_bow
20,ข่าวปลอม,  สตช.   เพจ คณะ ทำ งาน สร้าง ภูมิ คุ้มกัน อาชญากรรม ไซเบอร์ ภาค 1,9,14,1,2,11
21,ข่าวปลอม,  ทำ ใบ ขับขี่ สอบ ขนส่ง   กฎหมาย   100 %   ไลน์,8,16,2,2,8
22,ข่าวปลอม,  บริโภค ผัก ไฮโดรโปนิกส์   เสี่ยง มะเร็ง,7,10,5,2,7
23,ข่าวปลอม,  กรุงไทย ทะเบียน สินเชื่อ   Smile   Money   แอปพลิเคชัน,5,12,1,2,9
24,ข่าวปลอม,  เจ้าหน้าที่ บริการ ออนไลน์   รพ.บำรุงราษฎร์   ชวน ทุน ไลน์     ก.ล.ต.,8,23,4,2,11
25,ข่าวปลอม,  น้ำ เกลือ   Normal   Saline   แช่คอนแทคเลนส์,5,11,0,2,5
26,ข่าวปลอม,  โรงพยาบาลราชวิถี   ทะเบียน ฉีด วัคซีน แอสตร้า ไม่ จำกัด อายุ,8,15,2,2,8
27,ข่าวปลอม,  สมัคร แรงงาน ทำ โรง งาน เครื่อง สำอาง กรมการจัดหางาน,5,8,0,2,11
28,ข่าวปลอม,  ผัก ปลาบ หญ้าปัก กิ่ง รักษา โรค มะเร็ง,4,9,0,2,6
29,ข่าวปลอม,  ธอส.   ออกสินเชื่อ     5   ล้าน บาท ไลน์,4,16,1,2,6
30,ข่าวปลอม,  จ.ภูเก็ต ชีวิต สาธารณะ จำนวน,4,9,2,2,3
31,ข่าวปลอม,  ผลิตภัณฑ์ เสริม อาหาร   OKUL   รักษา โรค เกี่ยว ดวง ตา   ฟื้นฟู ผ่าตัด,7,18,0,2,14
32,ข่าวปลอม,  แรงงาน เมียนมาร์   เรียกร้อง สิทธิ เทียบเท่า คน ไทย,6,9,1,2,11
33,ข่าวปลอม,  น้ำมัน   E 85   ขัด ผิว คอ   ทำ คราบ ดำ คอ ไว,6,21,0,2,8
34,ข่าวปลอม,  Bolt   แพลตฟอร์ม กฎหมาย   ระเบียบ รถ จ้าง เต็ม รูปแบบ,5,15,0,2,9
35,ข่าวปลอม,  บัญชี ไลน์   HSH   ฮั่วเซ่งเฮง   ชักชวน ทุน,7,12,3,2,6
36,ข่าวปลอม,"  กรุงไทย บริษัท BM   ปล่อย สินเชื่อ เงิน กู้ ไลน์   วงเงิน   5,000   –   500,000   บาท",7,22,6,2,14
37,ข่าวปลอม,  ออมสิน ปล่อย สินเชื่อ ลูกจ้าง ประจำ   เพจ   BestDameHCQC 498882,5,12,0,2,10
38,ข่าวปลอม,  เฟซบุ๊กชื่อ   ศูนย์ จำหน่าย นม ไทย เดนมาร์ค   เพจ จำหน่าย นม ลด ราคา,10,17,5,2,14
39,ข่าวปลอม,  เตือน อพยพ   เนื่อง พายุ มิลตันทวี   กลาย พายุ รุนแรง โลก ปี,10,23,0,2,12
40,ข่าวปลอม,  กรุงไทย ทะเบียน   สำหรับ อาชีพ อิสระ   พนักงาน   แม่ค้า   กู้   5   หมื่น   ผ่อน   826   เดือน,8,26,4,2,15
41,ข่าวปลอม,  อาการ โคลงเคลง ​ เสียการทรง ตัว   เสียง หู ​   น้ำ หู   อาการ วิตามิน บี,13,25,0,2,8
42,ข่าวปลอม,  สาร บูด ปลา ทูนึ่ง   สัมผัส โดน มะเร็ง ผิวหนัง,5,13,0,2,6
43,ข่าวปลอม,  รัฐบาล ภาษี   30 %   สำหรับ บุคคล สามี,6,13,2,2,6
44,ข่าวปลอม,  ลด สวัสดิการ ค่า รักษาพยาบาล ราชการ   ​   65 %,4,12,2,2,7
45,ข่าวปลอม,  หญ้า ลิ้น งู ยับยั้ง เจริญเติบโต เซลล์ มะเร็ง,6,11,0,2,7
46,ข่าวปลอม,  กรมศุลกากร โทรศัพท์ แจ้ง ประชาชน เอกสาร ตกค้าง,6,13,0,2,9
47,ข่าวปลอม,  ธ.ก.ส.     SMS   มือ เบอร์ ตัว   คลิกลิงก์ ระบบ,8,17,1,2,6
48,ข่าวปลอม,  แอปเป๋า ตัง   กู้ เงิน   1   หมื่น บาท   ทะเบียน อาชีพ  ,7,19,8,2,7
49,ข่าวปลอม,  ออมสิน ปล่อย สินเชื่อ   เพจ   Aomsin   Plus,5,13,0,2,7
50,ข่าวปลอม,  ก.ล.ต.   เว็บไซต์ เทรดทองออนไลน์,6,8,1,2,3
51,ข่าวปลอม,  วัคซีน ป้องกัน โควิด 19   อาวุธ ชีวภาพ   ทำลายล้าง คน โลก,6,14,0,2,10
52,ข่าวปลอม,  ประกัน โควิด 19   จ่าย เงิน ค่า รักษา   ค่า ชดเชย   ติด เชื้อ ปอด   บังคับ   4   ม.ค.   65,8,31,3,2,11
53,ข่าวปลอม,  ธนาคารออมสิน เพจ ชื่อ   Aomsin   Gsb,5,9,1,2,4
54,ข่าวปลอม,  แนะ   น้ำมัน กัญชา ป้องกัน ไวรัส   COVID 19,6,11,0,2,7
55,ข่าวปลอม,  นวัตกรรม   APCO   เม็ด เลือด ขาว   Th 17     Killer   T   cell   กำจัด เชื้อ โรค ชนิด ร่างกาย,11,28,0,2,16
56,ข่าวปลอม,  ข่าว ดี   ข่าว ด่วน   ราชการ บำนาญ เตรียม เงิน เยียวยา,5,10,0,2,10
57,ข่าวปลอม,  สูตร เครื่อง ดื่ม ธัญพืช น้ำ อาร์ซี   รักษา โรค มะเร็ง,6,12,0,2,8
58,ข่าวปลอม,  รัฐบาล เล็ง เตรียม ภาษี รถ เก่า อายุ   10   ปี   กระตุ้น เศรษฐกิจ ป้าย แดง,8,17,3,2,13
59,ข่าวปลอม,  ปปง.   เสียหาย แก๊ง คอลเซ็นเตอร์ ทะเบียน คุ้มครอง สิทธิ คืน เงิน,6,13,1,2,11
60,ข่าวปลอม,  รายงาน แพทย์ ชี้   ไข่ เป็ด ปนเปื้อน เชื้อ ไทฟอยด์,7,10,0,2,8
61,ข่าวปลอม,  กรมการจัดหางาน   ช่อง  TikTok   @dy18ozezoiod,4,8,0,2,5
62,ข่าวปลอม,"    Line     SET   เรียนรู้ ซื้อขาย หุ้น ฟรี   ทุน เริ่มต้น   1,000   บาท   รับปัน   4,0008,000   บาท / สัปดาห์",8,29,8,2,15
63,ข่าวปลอม,"  มัคคุเทศก์ ตก งาน เงิน ช่วยเหลือ   2,000   บาท     พมจ.",5,15,4,2,9
64,ข่าวปลอม,  กระทรวงยุติธรรม เพจเฟซบุ๊ก   แจ้งความร้องทุกข์ ออนไลน์,6,10,1,2,8
65,ข่าวปลอม,  ผลิตภัณฑ์   Natural   Code   ( Lochole )   ป้องกัน โรค เบาหวาน   ดัน โลหิต   หลอด เลือด หัวใจ,9,19,0,2,14
66,ข่าวปลอม,    8   เมษายน   อากาศ ร้อน   กรุงเทพฯ   อุณหภูมิ   44.9   องศา,5,21,1,2,8
67,ข่าวปลอม,  รักษา อาการ เจ็บตา   น้ำ นม แม่ หยอดตา,7,14,0,2,7
68,ข่าวปลอม,"  เงิน อุดหนุน บุตร   เบี้ย ชีพ อายุ เบี้ย คน พิการ คน   3,000   บาท     9   ต.ค.  ",8,25,6,2,11
69,ข่าวปลอม,  ศาลปกครอง   ใบ เงิน ภาษา อังกฤษ   สกุล เงิน ประเทศสหรัฐอเมริกา   ( USD ),8,15,3,2,11
70,ข่าวปลอม,  มศว  ประสาน มิตร   ประชาชน   ทะเบียน ฉีด วัคซีน แอสตร้า,6,15,0,2,8
71,ข่าวปลอม,  ร่างกาย อักเสบ   ตัว ร้อน   เสี่ยง เส้น เลือด สมอง แตก,6,11,0,2,10
72,ข่าวปลอม,  สอดไม้   Swab   ลึก เพดาน จมูก   ทำ เส้น ประสาท กลิ่น เสียหาย   สุขภาพ,9,23,0,2,11
73,ข่าวปลอม,  ผลิตภัณฑ์   BS   สาร สกัด สมุนไพร ฟื้น ภูมิคุ้มกัน   ต้านไวรัส   ต้าน อักเสบ ปอด,10,19,0,2,13
74,ข่าวปลอม,  พนักงาน   Mk โลตัส  สาขา รังษิณา   จ.อุดรธานี   ติด เชื้อ โควิด 19,11,18,2,2,11
75,ข่าวปลอม,  ต้ม ไมย ราบ ดื่ม แทน น้ำ รักษา มะเร็ง เต้า นม,6,10,0,2,7
76,ข่าวปลอม,  วิธี ทำ เครื่อง ดื่ม   CDS   ( Chlorine   Dioxide   Solution )   กำจัด เชื้อ ไวรัส ชนิด,8,19,0,2,11
77,ข่าวปลอม,  รพ.สมเด็จพระบรมราชเทวี   ณ ศรีราชา   บริจาค   จัดซื้อ อุปกรณ์ แพทย์,8,19,10,2,10
78,ข่าวปลอม,  ตลาดหลักทรัพย์     ก.ล.ต.   เชิญชวน ซื้อขาย หุ้น ทอง   กำไร   3 % 5 %   สิทธิ์ ลุ้น ทองคำ   2   บาท   เดือน,12,31,8,2,13
79,ข่าวปลอม,  แบงก์ พัน ปลอม หมายเลข ประเทศ ระบาดเข้า ไทย,6,11,1,2,6
80,ข่าวปลอม,    วัคซีน โควิด   19   สาร กัมมันตภาพรังสี นาโน   พาทิเคิล   อันตราย มนุษย์,8,18,7,2,13
81,ข่าวปลอม,  ย่านางแดง รักษา โรค กรด ไหล ย้อน,4,8,7,2,6
82,ข่าวปลอม,  ผลิตภัณฑ์ ยา แคปซูล ฟ้า ทะลายโจร   Prajuab  Herbs   ผลิตภัณฑ์ อนุญาต   อย.,9,19,1,2,14
83,ข่าวปลอม,"  เพจเฟซบุ๊กชักชวน ทุน   ทุน หุ้น ทองคำ   พอร์ต   1,000 .   รับปันผล   390     3,000 .   รับปันผล   980     โบรกเกอร์ ไทย กฎหมาย     ก.ล.ต.",13,47,14,2,16
84,ข่าวปลอม,"  กรุงไทย กู้ รอบ   วง เงิน   10,000   บาท   ผ่อน   300   บาท / เดือน   ไลน์   @ 318 trdcf",6,25,9,2,16
85,ข่าวปลอม,"  ออมสิน ปล่อย สินเชื่อ   Softloan   ยืม   5,000   –   500,000   บาท   ดอกเบี้ย ต่ำ   ค้ำ   ไลน์",8,25,3,2,11
86,ข่าวปลอม,  กรมการจัดหา งาน สมัคร งาน สร้าง เสริม ครอบครัว,4,9,0,2,10
87,ข่าวปลอม,  ติดต่อ เจ้าหน้าที่ ตำรวจ ไซเบอร์   เพจ ศูนย์ ทนายความเพื่อ สิทธิ มนุษยชน,4,11,4,2,12
88,ข่าวปลอม,  ออมสิน ปล่อย กู้ เงิน ฉุกเฉิน   ผ่อน จ่าย   24   เดือน,4,12,3,2,10
89,ข่าวปลอม,  โกหก     สมอง   โกหก สมอง   amygdala   ทำ งาน,7,20,0,2,7
90,ข่าวปลอม,  กระเทียม โทน รักษา มะเร็ง กระเพาะ อาหาร,3,7,0,2,7
91,ข่าวปลอม,  ป่วย ติด เชื้อ ไวรัส โคโรนา   รพ. จังหวัดกาญจนบุรี,8,14,6,2,7
92,ข่าวปลอม,"  ชีวิต คน ไทย คน สิทธิ เงิน   พม.   จำนวน   2,000   บาท",5,18,3,2,9
93,ข่าวปลอม,  รถ โดยสาร รถ บรรทุก   ค่า ควัน ดำ   โทษ   2   หมื่น บาท,6,16,4,2,9
94,ข่าวปลอม,  สูตร หมัก ผม กระเทียม   รักษา ผม ร่วง,3,11,0,2,8
95,ข่าวปลอม,  เงิน สินสอด งาน แต่ง   ภาษี อัตรา ร้อย   5   มูลค่า ทรัพย์สิน,6,16,0,2,10
96,ข่าวปลอม,  มุสลิม ไทย เจ้าของ บัญชี ธนาคารอิสลาม คน   กู้ เงิน หนี้ คืน,8,17,1,2,10
97,ข่าวปลอม,  กรมประชาสัมพันธ์   เพจเฟซ บุ๊กมูลนิธิคุ้มครอง สิทธิ ช่วยเหลือ เสียหาย ออนไลน์,9,14,4,2,12
98,ข่าวปลอม,  สอบ ใบ ขับขี่ แทน,1,6,0,2,4
99,ข่าวปลอม,  หมอ พรทิพย์ แนะนำ ผลิตภัณฑ์   Diamin   รักษา โรค เบาหวาน,5,11,5,2,11
100,ข่าวปลอม,  ผลิตภัณฑ์ ฟ้าทะลายโจร  ดีเฮิร์บ   ( DHerb )   ผลิตภัณฑ์ อนุญาต   อย.,7,18,1,2,12
101,ข่าวปลอม,"  เจ้าของ   PTT   เงิน   1,100   บาท   รับปันผล",4,15,3,2,8
102,ข่าวปลอม,  รู้ ยอด เงิน ธนาคาร   รู้ เบอร์ มือถือ ผูก เพย์,7,16,0,2,6
103,ข่าวปลอม,  งด ตู้   ATM   กรุงไทย ตู้   ไฟ กะพริบ เสียบ บัตร,7,20,0,2,9
104,ข่าวปลอม,"  กู้ ออมสิน บุคคล   วง เงิน   100,000   บาท   เพจออมสิน เพื่อน สู้",7,17,3,2,10
105,ข่าวปลอม,  เพจ   News   Topic   –   ประเด็น ร้อน   ยื่น คุ้มครอง สิทธิ เฉลี่ย ทรัพย์สิน คืน เงิน เสียหาย คดี   https://link 3.tops. com.co/,14,27,11,2,19
106,ข่าวปลอม,  มาตรการ คืน เงิน ประกัน มิเตอร์ ไฟฟ้า เร่งด่วน   ทะเบียน จนท.   ลิงก์   wvth.cc,8,16,3,2,14
107,ข่าวปลอม,"  ตลาดหลักทรัพย์   ทุน วัย เกษียณ เริ่มต้น   13,500   บาท   รับปันผล สัปดาห์",4,18,3,2,13
108,ข่าวปลอม,  กรมขนส่ง บังคับ รถ แท็กซี่ ติดตั้ง ฉาก กั้น โควิด   19   คัน,7,14,7,2,9
109,ข่าวปลอม,  ใบ ลำไย ต้ม   บรรเทา อาการ ติด เชื้อ   แผล หนอง หาย,7,15,0,2,8
110,ข่าวปลอม,  ธ.อิสลาม   ปล่อย สินเชื่อ โครงการ ชุมชน ซื่อสัตย์ มัสยิด   เงื่อนไข กู้,9,17,0,2,11
111,ข่าวปลอม,"  บัตร สวัสดิการ รัฐ เงิน พิเศษ   1,200   บาท   โอน เดือน   ต.ค.",6,17,3,2,11
112,ข่าวปลอม,  เชี่ยวชาญ ทุน   ตลาดหลักทรัพย์   สมาคม หุ้น บริษัท ปรึกษา ตลาดหุ้นฟรี,10,20,3,2,11
113,ข่าวปลอม,  บัญชีไลน์   MEA   Service   เป็นไลน์   Official   ไฟฟ้านครหลวง,7,15,0,2,9
114,ข่าวปลอม,  PCT   แจ้ง ออนไลน์   เพจ   CCID   –   สืบสวนสอบสวน อาชญากรรม เทคโนโลยี,9,17,0,2,8
115,ข่าวปลอม,"  COVID 19   ระบาด   ยอด ชีวิต กรุงเทพฯ     1,000   คน",5,16,1,2,8
116,ข่าวปลอม,  กิน เม็ด ชาน ม ไข่ มุก   ทำ โรค มะเร็ง,5,10,0,2,6
117,ข่าวปลอม,  หน้ากาก อนามัย ผ้าสปันบอนด์   ไมโคร พลาสติก   สูด ดม เสี่ยง มะเร็ง,9,16,5,2,11
118,ข่าวปลอม,  จ่าย ค่า ทะเบียน รถ,4,9,0,2,4
119,ข่าวปลอม,  ตลาดหลักทรัพย์   ชวน พอร์ต   100   หน่วย,3,11,0,2,8
120,ข่าวปลอม,  ทำ สี ผม ประจำ เดือน   ทำ แพ้ สาร เคมี,5,11,0,2,9
121,ข่าวปลอม,  หญิง กิน คอลลาเจน   สาร ทำ เนื้อ งอก ร่างกาย,6,14,0,2,7
122,ข่าวปลอม,  ผลิตภัณฑ์ ไฟเบอร์  ไพรโอติก   กรีน พีอาร์   ลำ ไส้ สะอาด   ขับ ล้าง สาร พิษ   ป้องกัน โรค มะเร็ง ลำ ไส้   ป้องกัน ติด เชื้อ ลำ ไส้   ยับยั้ง เชื้อ แบคทีเรีย   ป้องกัน โรค  ๆ,18,40,14,2,27
123,ข่าวปลอม,  แก้ อาการ ชัก / ลมบ้า หมู ต้ม ตะไคร้ ใบ สะระ แหน่   ดื่ม เช้า เย็น,8,16,2,2,10
124,ข่าวปลอม,"  รัฐฯ   เติม เงิน พิเศษ บัตร สวัสดิการ รัฐ   ท่าน   1,000   บาท     5   –   8   พ.ค.   66",5,30,6,2,12
125,ข่าวปลอม,  เพจศูนย์คุ้มครอง สิทธิ   ทะเบียน ยื่น สิทธิ คุ้มครอง ติดตาม เงิน คืน,9,15,4,2,10
126,ข่าวปลอม,  บัญชี ไลน์   HUA   Seng   Heng   แจ้ง ทะเบียน ทุน สร้าง กำไร,7,17,0,2,11
127,ข่าวปลอม,  หน้า มืด ตื่น นอน   สัญญาณ หัวใจ อ่อนแอ,6,10,0,2,5
128,ข่าวปลอม,  แถบ สี ท้าย หลอด ยา สี ฟัน   สารประกอบ ผลิต,4,13,5,2,6
129,ข่าวปลอม,  เตรียม ร้อน รอบ   16   –   18   พ.ค.   อุณหภูมิ ทะลุ   40   องศา,4,23,7,2,10
130,ข่าวปลอม,  ดื่ม น้ำ มะนาว ผสม เกลือ วิธี ฆ่า เชื้อ ไวรัส โค วิด 19,9,12,4,2,7
131,ข่าวปลอม,  ซื้อ รถ ไฟฟ้า บริษัท ผลิต เอเชีย   ทะเบียน,4,12,1,2,7
132,ข่าวปลอม,  ห้าม กรอก ทะเบียน แจ้ง ปลูก กัญชา อย.   มิจฉาชีพ,6,16,0,2,9
133,ข่าวปลอม,  ดื่ม น้ำ มะพร้าว   น้ำ มะนาว   เกลือ   รักษา โควิด   19   หาย   2   ชม.,7,26,5,2,9
134,ข่าวปลอม,  อาการ ปวด ประจำ เดือน เทียบเท่า หัวใจ วาย   แรง กด มด ลูก เหมือน ตอน คลอด ลูก,8,16,0,2,16
135,ข่าวปลอม,"  SMS   แจ้ง เงิน ดิจิทัล   10,000   บาท   แนบลิงก์ ติดต่อ เจ้าหน้าที่",6,17,3,2,12
136,ข่าวปลอม,  เว็บไซต์   https://hshtd.cc   เว็บ   ตลาด หลักทรัพย์แห่งประเทศไทย,7,15,9,2,12
137,ข่าวปลอม,  รพ.หนองจอก   บริการ ฉีด วัคซีน   Sinovac  ฟรี   ประชาชน อายุ   1859   ปี,8,20,6,2,10
138,ข่าวปลอม,  พุทธรักษา ดอกขาว   รักษา โรค มะเร็ง,3,8,0,2,6
139,ข่าวปลอม,  กองสลาก   หนังสือ โครงการ ทลาย เจ้า มือ หวย เถื่อน ประชาชน   สมาชิก เลข ล็อก,11,23,3,2,13
140,ข่าวปลอม,  น้ำยา ล้าง เล็บ สาร อะซีโตน   สูด ดม ก่อ กวน ฮอร์โมน เพศ หญิง   ปกติ เกี่ยว รอบ เดือน,9,17,0,2,18
141,ข่าวปลอม,  เพจธนาคารออมสิน จำกัด เชื่อม ธนาคารออมสิน,3,8,3,2,5
142,ข่าวปลอม,"  รัฐฯ   เติม เงิน พิเศษ บัตร สวัสดิการ รัฐ   คน   1,500   บาท   เตรียม เงิน   1   พ.ค.   66",7,26,6,2,15
143,ข่าวปลอม,  ธนาคารออมสิน เขต จังหวัดยโสธร   ข้อความ แจ้ง ลูกค้า กู้ยืม เงิน   เอกสาร พัก ชำระ หนี้,9,21,3,2,11
144,ข่าวปลอม,  ผลิตภัณฑ์ ยาฟาราเทน   บรรเทา อาการ ผิวหนัง อักเสบ เรื้อรัง   ระบบ ภูมิต้านทาน   โพรงหนองที่ ฟัน   สะเก็ด เงิน   ฝีภาย   ฝีภาย   ระบบ น้ำ เหลือง,19,32,12,2,20
145,ข่าวปลอม,  รัฐบาล กู้ เงิน หนี้ ท่วม คลัง   หนี้,5,13,0,2,6
146,ข่าวปลอม,คลาย ข้อ สงสัย เกี่ยว กัญชา,3,4,0,2,5
147,ข่าวปลอม,  ตลาดหลักทรัพย์   ทุน โอน เงิน ประกัน วงเงิน ซื้อขาย หลักทรัพย์,6,16,0,2,11
148,ข่าวปลอม,    เชื้อ ไวรัส โคโรนา ทำ พิษ   จีน ล้ม ตึง กลาง สุวรรณภูมิ,11,13,9,2,6
149,ข่าวปลอม,"  ตลาดหลักทรัพย์   พอร์ต   1,800   บาท   กำไร",4,16,3,2,7
150,ข่าวปลอม,  มหาวิทยาลัย พายัพ ข้อความ บริจาค   แชร์ คลิป วิดีโอ ช่องทาง ออนไลน์,8,15,0,2,11
151,ข่าวปลอม,  ไข่ ไก่ เหี่ยว แม่ ไก่ โรค หลอด ลม อักเสบ ติดต่อ,5,10,0,2,11
152,ข่าวปลอม,  คฝ .   สลาย ชุมนุม   ทำ รถ ประชาชน   พลิก คว่ำ   อุบัติเหตุ,6,16,0,2,9
153,ข่าวปลอม,  ต้ม น้ำ สมุนไพร   ผ้า คลุม ศีรษะ สูด ไอ น้ำ   ฆ่า เชื้อโค วิด 19,10,18,0,2,8
154,ข่าวปลอม,  ทะเบียน คุ้มครอง สิทธิ เสียหาย แก๊ง คอลเซ็นเตอร์   เพจ   หน่วย งาน คุ้มครอง สิทธิ์ อาชญากรรม ออนไลน์,11,18,0,2,17
155,ข่าวปลอม,  สาร ซัก ฟอก สบู่ เหลว   สาร ตระกูล เอมีน   กลาย สาร ก่อ มะเร็ง,9,18,3,2,10
156,ข่าวปลอม,  บัญชี   TikTok   กรรมการ ทั่วไป   บสย.,5,12,0,2,5
157,ข่าวปลอม,  วิธี ตรวจ ระดับ เสื่อม สมอง   กด ขยับ เคลื่อนไหว นิ้ว,6,15,0,2,9
158,ข่าวปลอม,"  สำนักงานสลากฯ   จำหน่าย เลข สลาก   3   หลัก   รางวัล บาท   100   –   1,000   บาท",5,26,10,2,12
159,ข่าวปลอม,  ลุก นอน กระทันหัน   ทำ กระดูก กะโหลก ศีรษะ แตก   หัวใจ หยุด เต้น,7,14,0,2,11
160,ข่าวปลอม,  ข้อมูล เงิน บำนาญ   เวลา   ส.ส.,4,12,0,2,4
161,ข่าวปลอม,  เกษตรกร หนังสือ แจ้ง หนี้   หนังสือ ธนาคาร รัฐ ต้น สังกัด   เงิน สด ปลด หนี้,10,20,0,2,13
162,ข่าวปลอม,  พายุ ไซโคลน เคลื่อน ตัว เหนือ ตอน ตะวัน ตก ลักษณะ พายุ ดีเปรสชัน     9   หน้า,8,19,0,2,12
163,ข่าวปลอม,  หนังสือ ชอบ   อนุญาต สำนักงาน  ก.ล.ต.,4,14,3,2,7
164,ข่าวปลอม,  ตลาดหลักทรัพย์   หุ้น โรง ไฟฟ้า   กำไร,4,10,0,2,6
165,ข่าวปลอม,  77   จังหวัด ประเทศ   เตรียม ตัว รับมือ มรสุม พายุ พัด ถล่ม   7     เสี่ยง น้ำ ท่วม,9,22,3,2,12
166,ข่าวปลอม,  กระทรวงแรงงานส่ง   SMS   สมัคร คน แพ็ก สินค้า,7,12,9,2,7
167,ข่าวปลอม,  น้ำมัน มะพร้าว สกัด เย็น สมดุล ร่างกาย   ปวด เนื้อ ตัว   กระดูก,8,19,0,2,10
168,ข่าวปลอม,‘ มือ ป่วน ชิบช็อป ’   ยุวชน ฐาน คะแนน พรรค เมือง   ข่าว ปลอม   สร้าง ปั่นป่วน   อย่า แชร์,13,24,1,2,17
169,ข่าวปลอม,  กัมพูชา ติดต่อ ประเทศไทย สอน ภาษา เขมร โรง เรียน,6,12,2,2,10
170,ข่าวปลอม,  ปัสสาวะ กลาง คืน ดื่ม น้ำ ทดแทน   ทำ ภาวะ อุดตัน หัวใจ สมอง,7,17,0,2,8
171,ข่าวปลอม,  ผลิตภัณฑ์ แคปซูล   Diamin   ฟื้นฟู ร่างกาย ป่วย โรค เบาหวาน   รักษา ระดับ น้ำตาล เลือด เกณฑ์ ปกติ,10,20,0,2,17
172,ข่าวปลอม,"  ออมสิน ทะเบียน กู้   300,000   บาท   ไลน์   อาชีพ",3,16,3,2,8
173,ข่าวปลอม,  ไข้ หวัด สายพันธุ์   A   อาการ ปวด หัว   อาเจียน   ฉี่ แตก เฉียบพลัน รุนแรง   รุนแรง โควิด 19   สาย พันธ์ุ,12,30,0,2,17
174,ข่าวปลอม,  ดื่ม น้ำ ปัสสาวะ ร้อน   ท้อง ผูก เรื้อรัง   ร่างกาย อักเสบ,7,16,0,2,7
175,ข่าวปลอม,  เคอร์ฟิว ประเทศ   ห้าม บ้าน   4   ทุ่ม   –   ตี   4     23   เม.ย.   64  ,7,29,9,2,7
176,ข่าวปลอม,  ผลิตภัณฑ์ เอ็นดู   คูลลิ่ง   มาสสาจ   ออย   ลด ปวด   5   นาที ดี   ทาน ยา   ลดปวด ไมเกรน   ลด ปวด ต้นคอ   บ่า   ลด อาการ เวียน หัว   ผ่อนคลาย,20,42,16,2,23
177,ข่าวปลอม,  กรมพัฒนาฝีมือ แรงงาน เพจเฟซบุ๊ก  กรมพัฒนาฝีมือ แรงงาน   ประชาสัมพันธ์,6,10,0,2,10
178,ข่าวปลอม,"  เพจเฟซบุ๊กชักชวน ทุน จอง หุ้น   ราคา พอร์ต   1,000   กำไร ปัน   1230 %       20,000   กำไร ปัน   37 %  ",11,36,10,2,13
